transaction_id,sender_account,receiver_account,amount,timestamp,location,source,is_anomaly_injected
TXN_0001,501007897151,501004191175,22679,2026-08-25T20:00:06.544273+00:00,Synthetic Terminal Node 2 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0002,501008930103,501005672073,33244,2026-08-25T22:48:06.544273+00:00,Synthetic Terminal Node 8 (Pune),SYNTHETIC_BANK_SWITCH,False
TXN_0004,501004078418,501005171761,6721,2026-08-26T04:43:06.544273+00:00,Synthetic Terminal Node 2 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0005,501002016911,501008761611,44120,2026-08-26T07:42:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0006,501001908841,501006692553,24126,2026-08-26T10:37:06.544273+00:00,Synthetic Terminal Node 7 (Kolkata),SYNTHETIC_BANK_SWITCH,False
TXN_0007,501006692553,501005672073,41669,2026-08-26T14:23:06.544273+00:00,Synthetic Terminal Node 4 (Hyderabad),SYNTHETIC_BANK_SWITCH,False
TXN_0008,501002264748,501004078418,29951,2026-08-26T16:47:06.544273+00:00,Synthetic Terminal Node 3 (Bengaluru),SYNTHETIC_BANK_SWITCH,False
TXN_0009,501008930103,501006944126,22590,2026-08-26T19:56:06.544273+00:00,Synthetic Terminal Node 8 (Pune),SYNTHETIC_BANK_SWITCH,False
TXN_0010,501008930103,501005672073,33486,2026-08-26T22:47:06.544273+00:00,Synthetic Terminal Node 5 (Ahmedabad),SYNTHETIC_BANK_SWITCH,False
TXN_0011,501005171761,501007897151,10041,2026-08-27T02:07:06.544273+00:00,Synthetic Terminal Node 6 (Chennai),SYNTHETIC_BANK_SWITCH,False
TXN_0012,501006944126,501002626229,37492,2026-08-27T05:23:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0013,501002642635,501004194548,12010,2026-08-27T08:06:06.544273+00:00,Synthetic Terminal Node 3 (Bengaluru),SYNTHETIC_BANK_SWITCH,False
TXN_0014,501007897151,501006543670,26772,2026-08-27T11:02:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0015,501006692553,501001908841,1451992,2026-08-27T14:05:06.544273+00:00,Synthetic Terminal Node 7 (Kolkata),SYNTHETIC_BANK_SWITCH,True
TXN_0016,501002642635,501008930103,26015,2026-08-27T16:56:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0017,501004194548,501003351868,16641,2026-08-27T19:57:06.544273+00:00,Synthetic Terminal Node 7 (Kolkata),SYNTHETIC_BANK_SWITCH,False
TXN_0018,501001908841,501007897151,37178,2026-08-27T23:24:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0019,501002626229,501001908841,23369,2026-08-28T02:01:06.544273+00:00,Synthetic Terminal Node 7 (Kolkata),SYNTHETIC_BANK_SWITCH,False
TXN_0020,501002016911,501004594297,18094,2026-08-28T05:13:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0021,501008761611,501008935169,41051,2026-08-28T08:20:06.544273+00:00,Synthetic Terminal Node 1 (Mumbai),SYNTHETIC_BANK_SWITCH,False
TXN_0022,501004191175,501004194548,24092,2026-08-28T11:05:06.544273+00:00,Synthetic Terminal Node 2 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0023,501005171761,501003351868,24846,2026-08-28T13:45:06.544273+00:00,Synthetic Terminal Node 4 (Hyderabad),SYNTHETIC_BANK_SWITCH,False
TXN_0024,501006944126,501008930103,32730,2026-08-28T17:22:06.544273+00:00,Synthetic Terminal Node 7 (Kolkata),SYNTHETIC_BANK_SWITCH,False
TXN_0025,501005672073,501004191175,36407,2026-08-28T20:15:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
TXN_0026,501006692553,501008761611,32413,2026-08-28T23:09:06.544273+00:00,Synthetic Terminal Node 9 (Mumbai),SYNTHETIC_BANK_SWITCH,False
TXN_0027,501009626108,501002016911,40186,2026-08-29T02:21:06.544273+00:00,Synthetic Terminal Node 10 (Delhi),SYNTHETIC_BANK_SWITCH,False
